Name,Team,nAtBat,nHits,nHome,nRuns,nRBI,League,Division,Position,nError
"Allanson, Andy",Cleveland,293,66,1,30,29,American,East,C,20
"Ashby, Alan",Houston,315,81,7,24,38,National,West,C,10
"Davis, Alan",Seattle,479,130,18,66,72,American,West,1B,14
"Dawson, Andre",Montreal,496,141,20,65,78,National,East,RF,3
"Galarraga, Andres",Montreal,321,87,10,39,42,National,East,1B,4
"Griffin, Alfredo",Oakland,594,169,4,74,51,American,West,SS,25
"Newman, Al",Montreal,185,37,1,23,8,National,East,2B,7
"Salazar, Argenis",Kansas City,298,73,0,24,24,American,West,SS,9
"Thomas, Andres",Atlanta,323,81,6,26,32,National,West,SS,19
"Thornton, Andre",Cleveland,401,92,17,49,66,American,East,DH,0
"Trammell, Alan",Detroit,574,159,21,107,75,American,East,SS,22
"Trevino, Alex",Los Angeles,202,53,4,31,26,National,West,C,11
"Van Slyke, Andy",St Louis,418,113,13,48,61,National,East,RF,7
"Wiggins, Alan",Baltimore,239,60,0,30,11,American,East,2B,6
"Almon, Bill",Pittsburgh,196,43,7,29,27,National,East,UT,8
"Beane, Billy",Minneapolis,183,39,3,20,15,American,West,OF,0
"Bell, Buddy",Cincinnati,568,158,20,89,75,National,West,3B,10
"Biancalana, Buddy",Kansas City,190,46,2,24,8,American,West,SS,16
"Bochte, Bruce",Oakland,407,104,6,57,43,American,West,1B,9
"Bochy, Bruce",San Diego,127,32,8,16,22,National,West,C,2
"Bonds, Barry",Pittsburgh,413,92,16,72,48,National,East,CF,5
"Bonilla, Bobby",Chicago,426,109,3,55,43,American,West,O1,2
"Boone, Bob",California,442,98,7,48,49,American,West,C,11
"Brenly, Bob",San Francisco,472,116,16,60,62,National,West,C,3
"Buckner, Bill",Boston,629,168,18,73,102,American,East,1B,14
"Butler, Brett",Cleveland,587,163,4,92,51,American,East,CF,3
"Dernier, Bob",Chicago,324,73,4,32,18,National,East,CF,3
"Diaz, Bo",Cincinnati,474,129,10,50,56,National,West,C,13
"Doran, Bill",Houston,550,152,6,92,37,National,West,2B,16
"Downing, Brian",California,513,137,20,90,95,American,West,LF,3
